id,document_id,court,esas_no,karar_no,karar_tarihi,year,chars,text
yargitay:770201200,770201200,13. Hukuk Dairesi,2010/109,2010/370,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/109 E. , 2010/370 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772944000,772944000,13. Hukuk Dairesi,2010/128,2010/376,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/128 E. , 2010/376 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772945300,772945300,13. Hukuk Dairesi,2010/255,2010/400,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/255 E. , 2010/400 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772945500,772945500,13. Hukuk Dairesi,2010/201,2010/387,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/201 E. , 2010/387 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772946300,772946300,13. Hukuk Dairesi,2010/231,2010/393,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/231 E. , 2010/393 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772946500,772946500,13. Hukuk Dairesi,2010/129,2010/377,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/129 E. , 2010/377 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772947100,772947100,13. Hukuk Dairesi,2010/303,2010/410,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/303 E. , 2010/410 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772947300,772947300,13. Hukuk Dairesi,2010/329,2010/411,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/329 E. , 2010/411 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772947900,772947900,13. Hukuk Dairesi,2010/246,2010/397,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/246 E. , 2010/397 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772948000,772948000,13. Hukuk Dairesi,2010/200,2010/386,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/200 E. , 2010/386 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772949000,772949000,13. Hukuk Dairesi,2010/290,2010/407,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/290 E. , 2010/407 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772949600,772949600,13. Hukuk Dairesi,2010/183,2010/385,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/183 E. , 2010/385 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772950300,772950300,13. Hukuk Dairesi,2010/245,2010/396,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/245 E. , 2010/396 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772950600,772950600,13. Hukuk Dairesi,2010/105,2010/368,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/105 E. , 2010/368 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772950900,772950900,13. Hukuk Dairesi,2010/377,2010/416,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/377 E. , 2010/416 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772953400,772953400,13. Hukuk Dairesi,2010/122,2010/375,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/122 E. , 2010/375 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772954400,772954400,13. Hukuk Dairesi,2010/107,2010/369,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/107 E. , 2010/369 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772956700,772956700,13. Hukuk Dairesi,2010/263,2010/401,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/263 E. , 2010/401 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772957000,772957000,13. Hukuk Dairesi,2010/331,2010/412,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/331 E. , 2010/412 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772957800,772957800,13. Hukuk Dairesi,2010/117,2010/373,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/117 E. , 2010/373 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772958100,772958100,13. Hukuk Dairesi,2010/266,2010/402,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/266 E. , 2010/402 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772958700,772958700,13. Hukuk Dairesi,2010/279,2010/405,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/279 E. , 2010/405 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772959400,772959400,13. Hukuk Dairesi,2010/336,2010/413,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/336 E. , 2010/413 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772959700,772959700,13. Hukuk Dairesi,2010/210,2010/389,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/210 E. , 2010/389 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772961000,772961000,13. Hukuk Dairesi,2010/165,2010/379,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/165 E. , 2010/379 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772962300,772962300,13. Hukuk Dairesi,2010/27,2010/347,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/27 E. , 2010/347 K.

""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772965300,772965300,13. Hukuk Dairesi,2010/182,2010/384,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/182 E. , 2010/384 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772966300,772966300,13. Hukuk Dairesi,2010/287,2010/406,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/287 E. , 2010/406 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772966400,772966400,13. Hukuk Dairesi,2010/271,2010/404,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/271 E. , 2010/404 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772967400,772967400,13. Hukuk Dairesi,2010/291,2010/408,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/291 E. , 2010/408 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772967600,772967600,13. Hukuk Dairesi,2010/293,2010/409,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/293 E. , 2010/409 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772969000,772969000,13. Hukuk Dairesi,2010/226,2010/391,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/226 E. , 2010/391 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772969600,772969600,13. Hukuk Dairesi,2010/118,2010/374,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/118 E. , 2010/374 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772972700,772972700,13. Hukuk Dairesi,2010/172,2010/380,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/172 E. , 2010/380 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772973000,772973000,13. Hukuk Dairesi,2010/160,2010/378,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/160 E. , 2010/378 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772973700,772973700,13. Hukuk Dairesi,2010/181,2010/383,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/181 E. , 2010/383 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772973900,772973900,13. Hukuk Dairesi,2010/180,2010/382,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/180 E. , 2010/382 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772974500,772974500,13. Hukuk Dairesi,2010/247,2010/398,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/247 E. , 2010/398 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772975100,772975100,13. Hukuk Dairesi,2010/68,2010/355,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/68 E. , 2010/355 K.

""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772978000,772978000,13. Hukuk Dairesi,2010/206,2010/388,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/206 E. , 2010/388 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772978400,772978400,13. Hukuk Dairesi,2010/179,2010/381,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/179 E. , 2010/381 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772978800,772978800,13. Hukuk Dairesi,2010/214,2010/390,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/214 E. , 2010/390 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
