id,document_id,court,esas_no,karar_no,karar_tarihi,year,chars,text
yargitay:488972200,488972200,2. Hukuk Dairesi,2008/9006,2008/11346,2008-09-09,2008,111,"2. Hukuk Dairesi 2008/9006 E. , 2008/11346 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:501703600,501703600,2. Hukuk Dairesi,2008/1537,2008/16851,2008-12-15,2008,111,"2. Hukuk Dairesi 2008/1537 E. , 2008/16851 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:517576400,517576400,2. Hukuk Dairesi,2008/17747,2009/9310,2009-05-11,2009,111,"2. Hukuk Dairesi 2008/17747 E. , 2009/9310 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:518654200,518654200,2. Hukuk Dairesi,2008/8831,2009/11136,2009-06-09,2009,111,"2. Hukuk Dairesi 2008/8831 E. , 2009/11136 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:520831400,520831400,2. Hukuk Dairesi,2009/9642,2009/11025,2009-06-08,2009,111,"2. Hukuk Dairesi 2009/9642 E. , 2009/11025 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:521118800,521118800,2. Hukuk Dairesi,2009/8916,2009/10349,2009-06-01,2009,111,"2. Hukuk Dairesi 2009/8916 E. , 2009/10349 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:521513100,521513100,2. Hukuk Dairesi,2009/9769,2009/11923,2009-06-18,2009,111,"2. Hukuk Dairesi 2009/9769 E. , 2009/11923 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:524396600,524396600,2. Hukuk Dairesi,2009/9164,2009/10358,2009-06-01,2009,111,"2. Hukuk Dairesi 2009/9164 E. , 2009/10358 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:625932800,625932800,14. Hukuk Dairesi,2010/1785,2010/1850,2010-02-22,2010,111,"14. Hukuk Dairesi 2010/1785 E. , 2010/1850 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:1101274200,1101274200,11. Ceza Dairesi,2006/9072,2009/4900,2009-04-28,2009,112,"11. Ceza Dairesi 2006/9072 E. , 2009/4900 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:487110600,487110600,2. Hukuk Dairesi,2008/11596,2008/10180,2008-07-07,2008,112,"2. Hukuk Dairesi 2008/11596 E. , 2008/10180 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:489214300,489214300,2. Hukuk Dairesi,2008/13208,2008/11344,2008-09-09,2008,112,"2. Hukuk Dairesi 2008/13208 E. , 2008/11344 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:489648700,489648700,2. Hukuk Dairesi,2008/10942,2008/11891,2008-09-15,2008,112,"2. Hukuk Dairesi 2008/10942 E. , 2008/11891 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:493008100,493008100,2. Hukuk Dairesi,2008/13647,2008/13426,2008-10-15,2008,112,"2. Hukuk Dairesi 2008/13647 E. , 2008/13426 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:494186800,494186800,2. Hukuk Dairesi,2008/16950,2008/13750,2008-10-20,2008,112,"2. Hukuk Dairesi 2008/16950 E. , 2008/13750 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:494297100,494297100,2. Hukuk Dairesi,2007/14213,2008/14030,2008-10-23,2008,112,"2. Hukuk Dairesi 2007/14213 E. , 2008/14030 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:496097700,496097700,2. Hukuk Dairesi,2007/15353,2008/15497,2008-11-20,2008,112,"2. Hukuk Dairesi 2007/15353 E. , 2008/15497 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:496780400,496780400,2. Hukuk Dairesi,2007/16179,2008/15717,2008-11-24,2008,112,"2. Hukuk Dairesi 2007/16179 E. , 2008/15717 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:498945700,498945700,2. Hukuk Dairesi,2008/19317,2008/16342,2008-12-01,2008,112,"2. Hukuk Dairesi 2008/19317 E. , 2008/16342 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:502777100,502777100,2. Hukuk Dairesi,2008/19880,2008/17412,2008-12-22,2008,112,"2. Hukuk Dairesi 2008/19880 E. , 2008/17412 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:523071200,523071200,2. Hukuk Dairesi,2009/11421,2009/13183,2009-07-06,2009,112,"2. Hukuk Dairesi 2009/11421 E. , 2009/13183 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:529093200,529093200,2. Hukuk Dairesi,2008/14878,2009/17429,2009-10-14,2009,112,"2. Hukuk Dairesi 2008/14878 E. , 2009/17429 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:529308900,529308900,2. Hukuk Dairesi,2009/16788,2009/17190,2009-10-12,2009,112,"2. Hukuk Dairesi 2009/16788 E. , 2009/17190 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:529422500,529422500,2. Hukuk Dairesi,2009/16669,2009/17216,2009-10-12,2009,112,"2. Hukuk Dairesi 2009/16669 E. , 2009/17216 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:531464400,531464400,2. Hukuk Dairesi,2008/11494,2009/17834,2009-10-20,2009,112,"2. Hukuk Dairesi 2008/11494 E. , 2009/17834 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:531484300,531484300,2. Hukuk Dairesi,2009/17823,2009/18226,2009-10-26,2009,112,"2. Hukuk Dairesi 2009/17823 E. , 2009/18226 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:533957300,533957300,2. Hukuk Dairesi,2009/19384,2009/19710,2009-11-16,2009,112,"2. Hukuk Dairesi 2009/19384 E. , 2009/19710 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:542462800,542462800,2. Hukuk Dairesi,2009/21370,2009/22050,2009-12-21,2009,112,"2. Hukuk Dairesi 2009/21370 E. , 2009/22050 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:619836800,619836800,2. Hukuk Dairesi,2009/12230,2009/14345,2009-07-20,2009,112,"2. Hukuk Dairesi 2009/12230 E. , 2009/14345 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:781784900,781784900,12. Hukuk Dairesi,2009/6357,2009/14569,2009-07-02,2009,112,"12. Hukuk Dairesi 2009/6357 E. , 2009/14569 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:931919700,931919700,2. Ceza Dairesi,2009/46003,2010/3398,2010-02-10,2010,112,"2. Ceza Dairesi 2009/46003 E. , 2010/3398 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:932106600,932106600,2. Ceza Dairesi,2009/8298,2010/10495,2010-04-05,2010,112,"2. Ceza Dairesi 2009/8298 E. , 2010/10495 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:933396300,933396300,2. Ceza Dairesi,2009/15385,2010/2480,2010-02-03,2010,112,"2. Ceza Dairesi 2009/15385 E. , 2010/2480 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:386071400,386071400,12. Hukuk Dairesi,2008/12617,2008/13193,2008-06-19,2008,113,"12. Hukuk Dairesi 2008/12617 E. , 2008/13193 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386071600,386071600,12. Hukuk Dairesi,2008/13086,2008/13301,2008-06-24,2008,113,"12. Hukuk Dairesi 2008/13086 E. , 2008/13301 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386071800,386071800,12. Hukuk Dairesi,2008/10336,2008/13736,2008-06-24,2008,113,"12. Hukuk Dairesi 2008/10336 E. , 2008/13736 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386199800,386199800,12. Hukuk Dairesi,2008/13165,2008/16245,2008-09-23,2008,113,"12. Hukuk Dairesi 2008/13165 E. , 2008/16245 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386270200,386270200,12. Hukuk Dairesi,2008/16383,2008/20022,2008-11-13,2008,113,"12. Hukuk Dairesi 2008/16383 E. , 2008/20022 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:782201700,782201700,12. Hukuk Dairesi,2009/11615,2009/19436,2009-10-19,2009,113,"12. Hukuk Dairesi 2009/11615 E. , 2009/19436 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:782509500,782509500,12. Hukuk Dairesi,2009/18247,2009/26771,2009-12-29,2009,113,"12. Hukuk Dairesi 2009/18247 E. , 2009/26771 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:932208900,932208900,2. Ceza Dairesi,2009/11584,2010/13710,2010-04-26,2010,113,"2. Ceza Dairesi 2009/11584 E. , 2010/13710 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:933740500,933740500,2. Ceza Dairesi,2009/50948,2010/13099,2010-04-21,2010,113,"2. Ceza Dairesi 2009/50948 E. , 2010/13099 K.

""İçtihat Metni""MAHKEMESİ : mahkemeAdi
SUÇ : sanikSuc
HÜKÜM : hukum"
yargitay:895761800,895761800,20. Hukuk Dairesi,2009/3247,2009/3481,2009-03-03,2009,116,"(Kapatılan)20. Hukuk Dairesi 2009/3247 E. , 2009/3481 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi

- K A R A R -"
yargitay:772946100,772946100,13. Hukuk Dairesi,2010/5,2010/340,2010-01-20,2010,119,"(Kapatılan) 13. Hukuk Dairesi 2010/5 E. , 2010/340 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772960100,772960100,13. Hukuk Dairesi,2010/2,2010/339,2010-01-20,2010,119,"(Kapatılan) 13. Hukuk Dairesi 2010/2 E. , 2010/339 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770194000,770194000,13. Hukuk Dairesi,2010/90,2010/362,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/90 E. , 2010/362 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770199400,770199400,13. Hukuk Dairesi,2010/22,2010/344,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/22 E. , 2010/344 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770200500,770200500,13. Hukuk Dairesi,2010/46,2010/348,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/46 E. , 2010/348 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770200600,770200600,13. Hukuk Dairesi,2010/94,2010/365,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/94 E. , 2010/365 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770201400,770201400,13. Hukuk Dairesi,2010/74,2010/357,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/74 E. , 2010/357 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772945900,772945900,13. Hukuk Dairesi,2010/83,2010/360,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/83 E. , 2010/360 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772946700,772946700,13. Hukuk Dairesi,2010/72,2010/356,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/72 E. , 2010/356 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772947500,772947500,13. Hukuk Dairesi,2010/12,2010/341,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/12 E. , 2010/341 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772948300,772948300,13. Hukuk Dairesi,2010/96,2010/366,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/96 E. , 2010/366 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772949400,772949400,13. Hukuk Dairesi,2010/56,2010/352,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/56 E. , 2010/352 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772951800,772951800,13. Hukuk Dairesi,2010/25,2010/346,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/25 E. , 2010/346 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772953200,772953200,13. Hukuk Dairesi,2010/24,2010/345,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/24 E. , 2010/345 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772959100,772959100,13. Hukuk Dairesi,2010/75,2010/358,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/75 E. , 2010/358 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772960700,772960700,13. Hukuk Dairesi,2010/52,2010/350,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/52 E. , 2010/350 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772963800,772963800,13. Hukuk Dairesi,2010/53,2010/351,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/53 E. , 2010/351 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772966000,772966000,13. Hukuk Dairesi,2010/13,2010/342,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/13 E. , 2010/342 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772968300,772968300,13. Hukuk Dairesi,2010/59,2010/353,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/59 E. , 2010/353 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772971400,772971400,13. Hukuk Dairesi,2010/98,2010/367,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/98 E. , 2010/367 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772971600,772971600,13. Hukuk Dairesi,2010/91,2010/363,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/91 E. , 2010/363 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772971900,772971900,13. Hukuk Dairesi,2010/64,2010/354,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/64 E. , 2010/354 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772977200,772977200,13. Hukuk Dairesi,2010/17,2010/343,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/17 E. , 2010/343 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
